orig_food_common_name,name,orig_content,orig_unit,cas_number
(capsicum anuum),Quercetin,5.07,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
(cucumis melo),Delphinidin,0.0,mg/100 g,OC1=CC2=[O+]C(=C(O)C=C2C(O)=C1)C1=CC(O)=C(O)C(O)=C1
(ipomoea batatas),Luteolin,0.02,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1
(lactuca sativa var. crispa),Delphinidin,0.0,mg/100 g,OC1=CC2=[O+]C(=C(O)C=C2C(O)=C1)C1=CC(O)=C(O)C(O)=C1
(medicago sativa),Luteolin,0.0,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1
(purchased in the netherlands),Catechin 3-gallate,0.0,mg/100 g,OC1=CC(O)=C2CC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(OC2=C1)C1=CC(O)=C(O)C=C1
(purchased in the united kingdom),Genistein,0.02,mg/100 g,OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O
(vitis vinifera),Catechin 3-gallate,0.25,mg/100 g,OC1=CC(O)=C2CC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(OC2=C1)C1=CC(O)=C(O)C=C1
100% barley malt reference beer,Acetaldehyde,6.75,mg/100g,CC=O
100% barley malt reference beer,Ethyl acetate,12.18,mg/100g,CCOC(C)=O
100% barley malt reference beer,Ethyl hexanoate,0.17,mg/100g,CCCCCC(=O)OCC
100% barley malt reference beer,Ethyl octanoate,0.19,mg/100g,CCCCCCCC(=O)OCC
100% barley malt reference beer,Isopentyl acetate,0.99,mg/100g,CC(C)CCOC(C)=O
100% barley malt reference beer,Isopentyl alcohol,53.81,mg/100g,CC(C)CCO
20% buckwheat malt beer,Acetaldehyde,7.12,mg/100g,CC=O
20% buckwheat malt beer,Ethyl acetate,13.9,mg/100g,CCOC(C)=O
20% buckwheat malt beer,Ethyl hexanoate,0.13,mg/100g,CCCCCC(=O)OCC
20% buckwheat malt beer,Ethyl octanoate,0.16,mg/100g,CCCCCCCC(=O)OCC
20% buckwheat malt beer,Isopentyl acetate,1.1,mg/100g,CC(C)CCOC(C)=O
20% buckwheat malt beer,Isopentyl alcohol,55.12,mg/100g,CC(C)CCO
20% buckwheat malt beer,Quercetin,2.47,mg/100g,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
20% buckwheat malt beer,Quercetin 3-rutinoside,0.34,mg/100g,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
40% buckwheat malt beer,Acetaldehyde,7.01,mg/100g,CC=O
40% buckwheat malt beer,Ethyl acetate,14.69,mg/100g,CCOC(C)=O
40% buckwheat malt beer,Ethyl hexanoate,0.13,mg/100g,CCCCCC(=O)OCC
40% buckwheat malt beer,Ethyl octanoate,0.16,mg/100g,CCCCCCCC(=O)OCC
40% buckwheat malt beer,Isopentyl acetate,1.43,mg/100g,CC(C)CCOC(C)=O
40% buckwheat malt beer,Isopentyl alcohol,56.07,mg/100g,CC(C)CCO
40% buckwheat malt beer,Quercetin,2.62,mg/100g,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
40% buckwheat malt beer,Quercetin 3-rutinoside,0.55,mg/100g,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
9-grain bread,Daidzein,0.01,mg/100 g,OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O
abiyuch,Calcium,8.0,mg/100g,[Ca++]
abiyuch,Copper,0.057,mg/100g,[Cu]
abiyuch,D-Fructose,3800.0,mg/100g,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
abiyuch,D-Galactose,0.0,mg/100g,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
abiyuch,D-Glucose,4500.0,mg/100g,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
abiyuch,Iron,1.61,mg/100g,[Fe]
abiyuch,L-Ascorbic acid,54.1,mg/100g,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
abiyuch,Lactose,0.0,mg/100g,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
abiyuch,Maltose,200.0,mg/100g,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
abiyuch,Manganese,0.182,mg/100g,[Mn]
abiyuch,Phosphorus,47.0,mg/100g,P
abiyuch,Potassium,304.0,mg/100g,[K+]
abiyuch,Retinol,35.0,IU,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
abiyuch,Sodium,20.0,mg/100g,[Na]
abiyuch,Sucrose,50.0,mg/100g,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
abiyuch,Sugars,8550.0,mg/100g,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
abiyuch,Zinc,0.31,mg/100g,[Zn]
abiyuch,beta-Carotene,0.06,mg/100g,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C
acai,Cyanidin,38.68666666666667,mg/100 g,OC1=CC2=[O+]C(=C(O)C=C2C(O)=C1)C1=CC(O)=C(O)C=C1
acedera de guinea (sp.),Anthocyanins,1500.0,mg/100g,C1=CC=C(C=C1)C1=[O+]C2=CC=CC=C2C=C1
acedera de guinea (sp.),Calcium,743.6999999999999,mg/100g,[Ca++]
acedera de guinea (sp.),Cellulose,16800.0,mg/100g,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
acedera de guinea (sp.),Malic acid,2783.3333333333335,mg/100g,OC(CC(O)=O)C(O)=O
acedera de guinea (sp.),Nitrogen,3290.0,mg/100g,N#N
acedera de guinea (sp.),Pectic acid,2105.0,mg/100g,O[C@H]1O[C@@H]([C@H](O[C@H]2O[C@@H]([C@H](O[C@H]3O[C@@H]([C@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H](O)[C@H]2O)C(O)=O)[C@H](O)[C@H]1O)C(O)=O
acedera de guinea (sp.),Phosphorus,473.45,mg/100g,P
acedera de guinea (sp.),Potassium,940.0,mg/100g,[K+]
acedera de guinea (sp.),Starch,11100.0,mg/100g,OCC1OC(O)C(O)C(O)C1O
acedera de guinea (sp.),Sucrose,240.0,mg/100g,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
acedera de guinea (sp.),Sulfur,400.0,mg/100g,[S]
aceituna dulce,Betulinic acid,140.0,mg/100g,CC(=C)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12)C(O)=O
aceituna dulce,Calcium,50.0,mg/100g,[Ca++]
aceituna dulce,Chlorine,28.5,mg/100g,ClCl
aceituna dulce,Choline,25.0,mg/100g,C[N+](C)(C)CCO
aceituna dulce,Copper,0.815,mg/100g,[Cu]
aceituna dulce,Folic acid,0.0105,mg/100g,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
aceituna dulce,Iron,5.75,mg/100g,[Fe]
aceituna dulce,L-Ascorbic acid,69.35,mg/100g,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
aceituna dulce,Nicotinic acid,1.15,mg/100g,OC(=O)C1=CN=CC=C1
aceituna dulce,Potassium,362.75,mg/100g,[K+]
aceituna dulce,Riboflavine,0.04,mg/100g,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
aceituna dulce,Sodium,84.75,mg/100g,[Na]
aceituna dulce,Sulfur,46.5,mg/100g,[S]
aceituna dulce,beta-Carotene,0.15,mg/100g,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C
acerola,Apigenin,0.0,mg/100 g,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1
acerola,Calcium,12.0,mg/100g,[Ca++]
acerola,Copper,0.086,mg/100g,[Cu]
acerola,Cyanidin,15.71,mg/100 g,OC1=CC2=[O+]C(=C(O)C=C2C(O)=C1)C1=CC(O)=C(O)C=C1
acerola,Folic acid,0.013999999999999999,mg/100g,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
acerola,Iron,0.2,mg/100g,[Fe]
acerola,Kaempferol,1.05,mg/100 g,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O
acerola,L-Ascorbic acid,1677.6,mg/100g,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
acerola,Luteolin,0.0,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1
acerola,Myricetin,0.0,mg/100 g,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1
acerola,Nicotinic acid,0.4,mg/100g,OC(=O)C1=CN=CC=C1
acerola,Pantothenic acid,0.309,mg/100g,CC(C)(CO)C(O)C(=O)NCCC(O)=O
acerola,Pelargonidin,6.84,mg/100 g,OC1=CC=C(C=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O
acerola,Phosphorus,11.0,mg/100g,P
acerola,Potassium,146.0,mg/100g,[K+]
acerola,Quercetin,4.74,mg/100 g,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
acerola,Retinol,402.5,IU,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
acerola,Riboflavine,0.06,mg/100g,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
acerola,Sodium,7.0,mg/100g,[Na]
acerola,Thiamine,0.02,mg/100g,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
acerola,Zinc,0.1,mg/100g,[Zn]
acerola juice,Calcium,10.0,mg/100g,[Ca++]
acerola juice,Copper,0.086,mg/100g,[Cu]
acerola juice,Iron,0.5,mg/100g,[Fe]
acerola juice,L-Ascorbic acid,1600.0,mg/100g,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
acerola juice,Nicotinic acid,0.4,mg/100g,OC(=O)C1=CN=CC=C1
acerola juice,Pantothenic acid,0.205,mg/100g,CC(C)(CO)C(O)C(=O)NCCC(O)=O
acerola juice,Phosphorus,9.0,mg/100g,P
acerola juice,Potassium,97.0,mg/100g,[K+]
acerola juice,Retinol,267.0,IU,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
acerola juice,Sodium,3.0,mg/100g,[Na]
acerola juice,Sugars,4500.0,mg/100g,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
acerola juice,Zinc,0.1,mg/100g,[Zn]
acerola juice,alpha-Tocopherol,0.18,mg/100g,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
acerola juice,beta-Carotene,0.305,mg/100g,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C
acorn stew (apache),Arginine,470.0,mg/100g,N[C@@H](CCCNC(N)=N)C(O)=O
acorn stew (apache),Glycine,420.0,mg/100g,NCC(O)=O
acorn stew (apache),L-Alanine,450.0,mg/100g,C[C@H](N)C(O)=O
acorn stew (apache),L-Aspartic acid,830.0,mg/100g,N[C@@H](CC(O)=O)C(O)=O
acorn stew (apache),L-Glutamic acid,1510.0,mg/100g,N[C@@H](CCC(O)=O)C(O)=O
acorn stew (apache),L-Histidine,230.0,mg/100g,NC(CC1=CN=CN1)C(O)=O
acorn stew (apache),L-Isoleucine,350.0,mg/100g,CCC(C)C(N)C(O)=O
acorn stew (apache),L-Leucine,620.0,mg/100g,CC(C)CC(N)C(O)=O
acorn stew (apache),L-Lysine,580.0,mg/100g,NCCCC[C@H](N)C(O)=O
acorn stew (apache),L-Proline,460.0,mg/100g,OC(=O)[C@@H]1CCCN1
acorn stew (apache),L-Serine,330.0,mg/100g,NC(CO)C(O)=O
acorn stew (apache),L-Threonine,360.0,mg/100g,C[C@@H](O)[C@H](N)C(O)=O
acorn stew (apache),L-Tyrosine,250.0,mg/100g,NC(CC1=CC=C(O)C=C1)C(O)=O
acorn stew (apache),Starch,6570.0,mg/100g,OCC1OC(O)C(O)C(O)C1O
acorn stew (apache),Sugars,340.0,mg/100g,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
ademola o. olaniran,1-Pentanol,0.0,mg/100g,CCCCCO
ademola o. olaniran,"2,3-Butanedione",0.0,mg/100g,CC(=O)C(C)=O
ademola o. olaniran,2-Methyl-1-butanol,0.0,mg/100g,CCC(C)CO
ademola o. olaniran,2-Methyl-1-propanol,0.0,mg/100g,CC(C)CO
ademola o. olaniran,2-Phenylethanol,0.0,mg/100g,OCCC1=CC=CC=C1
ademola o. olaniran,2-Phenylethyl acetate,0.8,mg/100g,CC(=O)OCCC1=CC=CC=C1
ademola o. olaniran,Acetaldehyde,0.0,mg/100g,CC=O
ademola o. olaniran,Ethyl acetate,0.0,mg/100g,CCOC(C)=O
ademola o. olaniran,Ethyl hexanoate,0.0,mg/100g,CCCCCC(=O)OCC
ademola o. olaniran,Ethyl octanoate,0.0,mg/100g,CCCCCCCC(=O)OCC
adobo fresco,Calcium,123.0,mg/100g,[Ca++]
adobo fresco,Choline,2.4,mg/100g,C[N+](C)(C)CCO
adobo fresco,Decanoic acid,2.0,mg/100g,CCCCCCCCCC(O)=O
adobo fresco,Dodecanoic acid,2.0,mg/100g,CCCCCCCCCCCC(O)=O
adobo fresco,Iron,3.2,mg/100g,[Fe]
adobo fresco,L-Ascorbic acid,5.8,mg/100g,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
adobo fresco,Lycopene,0.41100000000000003,mg/100g,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C
adobo fresco,Nicotinic acid,0.47,mg/100g,OC(=O)C1=CN=CC=C1
adobo fresco,Phosphorus,38.0,mg/100g,P
adobo fresco,Potassium,187.0,mg/100g,[K+]
adobo fresco,Retinol,115.0,IU,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C
adobo fresco,Sodium,17152.0,mg/100g,[Na]
adobo fresco,Sugars,2030.0,mg/100g,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
adobo fresco,alpha-Tocopherol,2.69,mg/100g,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
adzuki bean,Arginine,1383.7,mg/100g,N[C@@H](CCCNC(N)=N)C(O)=O
adzuki bean,Glycine,814.7,mg/100g,NCC(O)=O
adzuki bean,L-Alanine,1250.05,mg/100g,C[C@H](N)C(O)=O
adzuki bean,L-Aspartic acid,2537.85,mg/100g,N[C@@H](CC(O)=O)C(O)=O
adzuki bean,L-Cystine,198.3,mg/100g,NC(CSSCC(N)C(O)=O)C(O)=O
adzuki bean,L-Glutamic acid,3339.6,mg/100g,N[C@@H](CCC(O)=O)C(O)=O
adzuki bean,L-Histidine,564.7,mg/100g,NC(CC1=CN=CN1)C(O)=O
adzuki bean,L-Isoleucine,852.4,mg/100g,CCC(C)C(N)C(O)=O
adzuki bean,L-Leucine,1797.5,mg/100g,CC(C)CC(N)C(O)=O
adzuki bean,L-Lysine,1613.2,mg/100g,NCCCC[C@H](N)C(O)=O
adzuki bean,L-Methionine,226.3,mg/100g,CSCC[C@H](N)C(O)=O
adzuki bean,L-Proline,941.85,mg/100g,OC(=O)[C@@H]1CCCN1
adzuki bean,L-Serine,1051.75,mg/100g,NC(CO)C(O)=O
adzuki bean,L-Threonine,726.35,mg/100g,C[C@@H](O)[C@H](N)C(O)=O
adzuki bean,L-Tryptophan,205.85,mg/100g,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
adzuki bean,L-Tyrosine,636.9,mg/100g,NC(CC1=CC=C(O)C=C1)C(O)=O
adzuki bean,Phosphorus,410.6,mg/100g,P
adzuki bean,Potassium,1351.35,mg/100g,[K+]
aestivalis grape [black],Cyanidin 3-(6''-acetylglucoside),3.9599998,mg/100g,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
aestivalis grape [black],Cyanidin 3-(6''-dioxalylglucoside),0.0,mg/100g,OC1C(COC(=O)C(=O)OC(=O)C(O)=O)OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)C(O)C1O
aestivalis grape [black],Cyanidin 3-(6''-malonylglucoside),0.0,mg/100g,OC1C(COC(=O)CC(O)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C=C2)C(O)C1O
aestivalis grape [black],Cyanidin 3-arabinoside,0.0,mg/100g,OC[C@@H]1O[C@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O
aestivalis grape [black],Cyanidin 3-galactoside,0.0,mg/100g,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O
aestivalis grape [black],Cyanidin 3-glucoside,18.719999313,mg/100g,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
aestivalis grape [black],Cyanidin 3-rutinoside,0.0,mg/100g,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(O)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O
aestivalis grape [black],Cyanidin 3-xyloside,0.0,mg/100g,[H][C@]1(CO)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]1([H])O
aestivalis grape [black],Delphinidin 3-(6-p-coumaroylglucoside),6.190000057000001,mg/100g,OC1C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C1O
aestivalis grape [black],Delphinidin 3-(acetylglucoside),2.0599999430000002,mg/100g,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
aestivalis grape [black],Delphinidin 3-arabinoside,0.0,mg/100g,OC[C@@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@@H](O)[C@@H]1O
aestivalis grape [black],Delphinidin 3-galactoside,0.0,mg/100g,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O
aestivalis grape [black],Delphinidin 3-glucoside,16.61000061,mg/100g,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O
aestivalis grape [black],Hyacinthin,0.9399999379999999,mg/100g,OC1C(C\[O+]=C(/O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C(OC3=CC(O)=CC(=O)C3=C2)C2=CC(O)=C(O)C=C2)C(O)C1O
aestivalis grape [black],Hyperin,0.8500000240000001,mg/100g,OC[C@H]1O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O
aestivalis grape [black],Malvidin 3-(6-acetylglucoside),6.440000057000001,mg/100g,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1OC(COC(C)=O)C(O)C(O)C1O)C(O)=CC(O)=C2
aestivalis grape [black],Malvidin 3-(6-coumaroylglucoside),2.4400000569999998,mg/100g,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C1O)C(O)=CC(O)=C2
aestivalis grape [black],Malvidin 3-arabinoside,0.0,mg/100g,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1O[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O)C(O)=CC(O)=C2
aestivalis grape [black],Malvidin 3-galactoside,0.0,mg/100g,COC1=CC(=CC(OC)=C1O)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C2C(O)=CC(O)=CC2=[O+]1
aestivalis grape [black],Malvidin 3-glucoside,6.9499998089999995,mg/100g,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
aestivalis grape [black],Peonidin 3-glucoside,1.339999914,mg/100g,COC1=C(O)C=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
aestivalis grape [black],Petunidin 3-(6''-acetylglucoside),2.429999828,mg/100g,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(OC)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
aestivalis grape [black],Petunidin 3-(6''-p-coumaroyl-glucoside),1.519999981,mg/100g,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
aestivalis grape [black],Petunidin 3-glucoside,6.1999998089999995,mg/100g,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2
after primary fermentation,"7-Methyl-3-methylene-1,6-octadiene",0.185,mg/100g,CC(C)=CCCC(=C)C=C
after primary fermentation,Adenine,0.132,mg/100g,NC1=C2N=CN=C2N=CN1.NC1=NC=NC2=C1NC=N2.NC1=NC=NC2=C1N=CN2.NC1=C2N=CN=C2NC=N1
after primary fermentation,Adenosine,0.135,mg/100g,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
after primary fermentation,Choline,0.517,mg/100g,C[N+](C)(C)CCO
after primary fermentation,Cytidine,0.182,mg/100g,OCC1OC(C(O)C1O)N1C=CC(=N)N=C1O
after primary fermentation,D-Fructose,1.11,mg/100g,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O
after primary fermentation,D-Mannose,0.16,mg/100g,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O
after primary fermentation,Deoxyadenosine,0.159,mg/100g,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
after primary fermentation,Dextrantriose,0.19399999999999998,mg/100g,OCC1OC(OCC2OC(OCC3OC(O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
after primary fermentation,Gentiobiose,0.5660000000000001,mg/100g,OCC1OC(OCC(O)C(O)C(O)C(O)C=O)C(O)C(O)C1O.OCC1OC(OCC(O)C2OC(O)C(O)C2O)C(O)C(O)C1O.OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
after primary fermentation,Glucose,0.46399999999999997,mg/100g,[H]C1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O
after primary fermentation,Glycerol,16.97,mg/100g,OCC(O)CO
after primary fermentation,Guanosine,0.309,mg/100g,NC1=NC(=O)C2=C(N1)N(C=N2)C1OC(CO)C(O)C1O
after primary fermentation,Isomaltose,0.263,mg/100g,OCC1OC(OCC(O)C(O)C(O)C(O)C=O)C(O)C(O)C1O.OCC1OC(OCC(O)C2OC(O)C(O)C2O)C(O)C(O)C1O.OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
after primary fermentation,Kojibiose,0.193,mg/100g,OCC(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C=O.OCC(O)C1OC(O)C(OC2OC(CO)C(O)C(O)C2O)C1O.OCC1OC(O)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
after primary fermentation,L-1-glycero-3-phosphocholine,1000.0,mg/100g,[H][C@@](O)(CO)COP([O-])(=O)OCC[N+](C)(C)C
after primary fermentation,Maltose,7.36,mg/100g,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
after primary fermentation,Maltotriose,2.355,mg/100g,OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)C=O
after primary fermentation,Oxypurinol,0.13,mg/100g,O=C1NC(=O)C2=CNNC2=N1
after primary fermentation,Propylene glycol,0.652,mg/100g,CC(O)CO
after primary fermentation,Sucrose,0.205,mg/100g,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
after primary fermentation,Uridine,0.253,mg/100g,OCC1OC(C(O)C1O)N1C=CC(O)=NC1=O
after primary fermentation,acetate,0.7140000000000001,mg/100g,CC([O-])=O
after primary fermentation,ethanolamine,0.132,mg/100g,NCCO
after secondary fermentation,"7-Methyl-3-methylene-1,6-octadiene",0.15,mg/100g,CC(C)=CCCC(=C)C=C
